Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Prince Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,1820,1.52,5.03,3.3x,422368
Serenity Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,4115,1.52,5.82,3.8x,416194
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,1980,1.53,4.79,3.1x,412097
Forbidden Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,13423,1.55,4.52,2.9x,412274
Experience Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,16059,1.56,5.67,3.6x,412072
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.0g,5845,1.58,5.22,3.3x,416902
Fine Detail Greenway        [ÿproductÿdetailsÿ],Preroll 0.5g,14210,1.59,4.87,3.1x,412400
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,15334,1.59,4.8,3.0x,412408
Pacific Glo        [ÿproductÿdetailsÿ],Preroll 0.5g,1280,1.6,4.86,3.0x,422928
Green Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,1699,1.62,5.43,3.4x,413076
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,4040,1.62,5.41,3.3x,412135
Premium Cannabis Producers LLC        [ÿproductÿdetailsÿ],Preroll 0.5g,2456,1.63,5.81,3.6x,417051
Emerald City Growers        [ÿproductÿdetailsÿ],Preroll 1.0g,3527,1.63,5.38,3.3x,416433
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,9837,1.63,5.51,3.4x,416902
Jms. Consultants        [ÿproductÿdetailsÿ],Preroll 0.5g,5190,1.64,5.06,3.1x,416423
Doc Croc        [ÿproductÿdetailsÿ],Preroll 1.0g,3078,1.65,5.76,3.5x,413948
Kettle River Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,2051,1.65,9.37,5.7x,416050
Naked Emperor        [ÿproductÿdetailsÿ],Flower 1.0g,1743,1.65,4.99,3.0x,416231
Rolling Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,36942,1.66,6.25,3.8x,416113
Son Lux        [ÿproductÿdetailsÿ],Preroll 1.0g,1179,1.66,5.53,3.3x,416566
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,2103,1.67,4.86,2.9x,412815
Hometown Herbs        [ÿproductÿdetailsÿ],Preroll 1.0g,3507,1.67,5.2,3.1x,416133
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,15284,1.68,5.32,3.2x,419128
Agro Technic        [ÿproductÿdetailsÿ],Flower 1.0g,5388,1.68,5.8,3.4x,412266
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,13089,1.68,6.16,3.7x,420287
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,5959,1.68,5.43,3.2x,425515
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,2323,1.7,5.63,3.3x,412097
Orange State        [ÿproductÿdetailsÿ],Preroll 1.0g,1099,1.7,6.48,3.8x,412409
Blue Sky Growers        [ÿproductÿdetailsÿ],Preroll 1.0g,3460,1.7,5.18,3.0x,412969
Twenty Plus        [ÿproductÿdetailsÿ],Preroll 1.0g,9608,1.7,5.18,3.1x,413088
