Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Pinoy Inc        [ÿproductÿdetailsÿ],Flower 1.0g,1551,1.5,5.18,3.5x,424047
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,1975,1.53,5.14,3.4x,412130
Sourface        [ÿproductÿdetailsÿ],Flower 1.0g,4878,1.53,4.46,2.9x,412679
Prince Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,2540,1.54,4.81,3.1x,422368
Going Green        [ÿproductÿdetailsÿ],Preroll 1.0g,3103,1.54,5.7,3.7x,413110
Redtail        [ÿproductÿdetailsÿ],Flower 1.0g,2995,1.55,5.77,3.7x,416310
K&m Growers        [ÿproductÿdetailsÿ],Flower 1.0g,11180,1.57,4.83,3.1x,412249
Fine Detail Greenway        [ÿproductÿdetailsÿ],Preroll 0.5g,14894,1.58,4.73,3.0x,412400
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,3855,1.6,4.86,3.0x,412815
Quincy Green        [ÿproductÿdetailsÿ],Preroll 1.5g,4628,1.62,7.21,4.4x,412358
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,14278,1.63,4.7,2.9x,412408
Green & Golden        [ÿproductÿdetailsÿ],Flower 1.0g,2683,1.63,5.37,3.3x,415710
Og Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,2154,1.64,5.07,3.1x,412687
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,5331,1.64,5.19,3.2x,412294
Fc Processor-3        [ÿproductÿdetailsÿ],Flower 1.0g,5536,1.66,5.92,3.6x,413952
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.0g,8151,1.67,4.88,2.9x,416902
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,6628,1.67,5.01,3.0x,420287
Circanna        [ÿproductÿdetailsÿ],Edible,10258,1.67,5.03,3.0x,413174
Jms. Consultants        [ÿproductÿdetailsÿ],Preroll 0.5g,4954,1.68,4.86,2.9x,416423
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,1268,1.69,4.93,2.9x,413665
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1604,1.7,5.1,3.0x,416539
Mean the Green        [ÿproductÿdetailsÿ],Flower 1.0g,2516,1.7,5.64,3.3x,416751
Twenty Plus        [ÿproductÿdetailsÿ],Preroll 1.0g,5630,1.72,5.31,3.1x,413088
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,15765,1.72,5.53,3.2x,419128
Alto Buddha        [ÿproductÿdetailsÿ],Preroll 0.5g,1160,1.73,4.67,2.7x,416754
Kouchlock Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,5834,1.73,5.82,3.4x,412630
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1830,1.73,7.63,4.4x,416400
Pacific Northwest Growers        [ÿproductÿdetailsÿ],Preroll 0.5g,1750,1.75,4.81,2.8x,412068
Herban Myth        [ÿproductÿdetailsÿ],Flower 1.0g,2850,1.75,4.92,2.8x,412123
Agro Technic        [ÿproductÿdetailsÿ],Flower 1.0g,1650,1.75,5.14,2.9x,412266
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,18062,1.75,6,3.4x,412831
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,9568,1.75,5.4,3.1x,417001
Fireweed Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2395,1.75,7.73,4.4x,417794
Ogz Fire Weed        [ÿproductÿdetailsÿ],Preroll 0.5g,1428,1.76,4.66,2.6x,416737
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,1977,1.76,6.4,3.6x,412576
Lost Lake Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,1273,1.78,4.41,2.5x,412978
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,10182,1.78,6,3.4x,423396
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6573,1.78,5.7,3.2x,412337
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,9377,1.78,6.68,3.8x,413165
Fc Processor-3        [ÿproductÿdetailsÿ],Preroll 1.0g,2162,1.78,5.02,2.8x,413952
Platinum Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,1646,1.78,4.75,2.7x,414115
Green & Golden        [ÿproductÿdetailsÿ],Preroll 1.0g,3434,1.78,5.4,3.0x,415710
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,9090,1.79,6.7,3.7x,412273
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,15394,1.8,5.81,3.2x,412135
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,1812,1.82,5.12,2.8x,413145
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,4217,1.82,6.18,3.4x,425515
Oberfelder Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,16534,1.83,4.81,2.6x,412286
Royal Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,14713,1.83,5.11,2.8x,413723
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,3667,1.83,7.84,4.3x,416973
Son Lux        [ÿproductÿdetailsÿ],Preroll 1.0g,1272,1.86,5.85,3.1x,416566
Hometown Herbs        [ÿproductÿdetailsÿ],Preroll 1.0g,2361,1.87,5.88,3.2x,416133
Island Gro        [ÿproductÿdetailsÿ],Flower 1.0g,2996,1.87,7.77,4.2x,416656
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 0.75g,3290,1.9,6.2,3.3x,415922
Be Kind Buds        [ÿproductÿdetailsÿ],Flower 1.0g,3414,1.9,5.74,3.0x,416353
Hannah Industries        [ÿproductÿdetailsÿ],Preroll 0.5g,4492,1.91,5.53,2.9x,424223
Blacksmith Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1448,1.91,5.94,3.1x,413622
Lopez And Orr Co        [ÿproductÿdetailsÿ],Flower 1.0g,8079,1.91,5.95,3.1x,417295
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,9246,1.92,5.63,2.9x,416462
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,6806,1.92,6.42,3.3x,416762
The Plant Factory        [ÿproductÿdetailsÿ],Preroll 1.0g,1060,1.92,6.3,3.3x,416827
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,11659,1.92,6.73,3.5x,416831
Viva Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,10758,1.92,6.12,3.2x,416609
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,30544,1.93,5.82,3.0x,414038
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,18863,1.94,7.03,3.6x,412141
