Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Twenty Plus        [ÿproductÿdetailsÿ],Preroll 1.0g,6055,1.53,4.82,3.1x,413088
The Green Vault        [ÿproductÿdetailsÿ],Preroll 0.5g,1121,1.55,4.87,3.1x,415711
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,3067,1.56,4.59,3.0x,412097
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,2704,1.57,4.81,3.1x,412815
Peak Supply        [ÿproductÿdetailsÿ],Flower 1.0g,8932,1.57,5.35,3.4x,413077
Fine Detail Greenway        [ÿproductÿdetailsÿ],Preroll 0.5g,9332,1.58,5,3.2x,412400
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,19160,1.58,4.93,3.1x,412408
Jms. Consultants        [ÿproductÿdetailsÿ],Preroll 0.5g,3867,1.6,4.58,2.9x,416423
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,4298,1.6,4.72,2.9x,412784
Crystal Forest Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2080,1.62,6.49,4.0x,415694
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,14184,1.65,6.06,3.7x,419128
Be Kind Buds        [ÿproductÿdetailsÿ],Flower 1.0g,9446,1.65,6.18,3.7x,416353
Capital City Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,2889,1.65,4.95,3.0x,416585
Circanna        [ÿproductÿdetailsÿ],Edible,15643,1.65,5.11,3.1x,413174
Green Freedom        [ÿproductÿdetailsÿ],Preroll 1.0g,4648,1.66,4.97,3.0x,412515
Gecko Growers        [ÿproductÿdetailsÿ],Flower 1.0g,10365,1.66,5.51,3.3x,412135
Og Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,4060,1.67,5.14,3.1x,412687
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 0.5g,1333,1.67,4.62,2.8x,413631
Leaph        [ÿproductÿdetailsÿ],Preroll 0.5g,5744,1.69,5.2,3.1x,417010
Royal Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,12012,1.7,5.03,3.0x,413723
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,1172,1.73,5.05,2.9x,413145
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,1898,1.73,5.04,2.9x,413665
Emerald City Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1597,1.73,5.53,3.2x,416433
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,2782,1.74,6.85,3.9x,412576
Kettle River Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.5g,1194,1.75,5.94,3.4x,416050
Agro Technic        [ÿproductÿdetailsÿ],Flower 1.0g,1400,1.75,5.19,3.0x,412266
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,20739,1.77,5.52,3.1x,417001
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,3196,1.78,5.88,3.3x,412097
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,9288,1.78,5.56,3.1x,412337
Caldwell Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,4219,1.79,6.4,3.6x,417087
Pinoy Inc        [ÿproductÿdetailsÿ],Flower 1.0g,1336,1.79,5.25,2.9x,424047
Green & Golden        [ÿproductÿdetailsÿ],Preroll 1.0g,1303,1.81,6.13,3.4x,415710
Bella Jane's        [ÿproductÿdetailsÿ],Preroll 1.0g,7780,1.81,7.07,3.9x,416762
Herban Myth        [ÿproductÿdetailsÿ],Preroll 1.0g,3981,1.83,5.7,3.1x,412123
Fourdub        [ÿproductÿdetailsÿ],Preroll 1.0g,10873,1.84,6.12,3.3x,413165
Top Shelf        [ÿproductÿdetailsÿ],Preroll 0.75g,15390,1.85,6.43,3.5x,423396
Fresh Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,5306,1.85,4.9,2.6x,423101
D And S Farms        [ÿproductÿdetailsÿ],Flower 1.0g,11348,1.85,6.13,3.3x,412831
Carson Unlimited        [ÿproductÿdetailsÿ],Flower 1.0g,2963,1.85,5.73,3.1x,420287
Oberfelder Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,6187,1.86,4.8,2.6x,412286
Desert Valley Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2042,1.86,5.96,3.2x,412260
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 0.75g,3029,1.87,5.76,3.1x,415922
Boggy Boon        [ÿproductÿdetailsÿ],Preroll 1.0g,8608,1.87,7.53,4.0x,416935
Lost Lake Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,1815,1.88,4.54,2.4x,412978
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,1540,1.88,5.38,2.9x,424045
Jbc Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2042,1.91,7.13,3.7x,412196
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,3899,1.92,7.58,3.9x,412892
Symington Holdings Ii        [ÿproductÿdetailsÿ],Preroll 1.0g,2460,1.93,6.09,3.2x,415777
Virginia Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,10318,1.95,6.45,3.3x,416539
Investment Funding Group        [ÿproductÿdetailsÿ],Infused,7742,1.95,6.81,3.5x,415790
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,2450,1.96,6.45,3.3x,412130
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,1834,1.97,5.6,2.8x,413922
Sky Rider        [ÿproductÿdetailsÿ],Preroll 1.5g,1862,1.97,5.52,2.8x,416632
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 0.75g,2098,1.98,5.88,3.0x,412258
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,30444,1.99,6.21,3.1x,414038
Sourface        [ÿproductÿdetailsÿ],Flower 1.0g,5526,1.99,4.54,2.3x,412679
Canna Organix        [ÿproductÿdetailsÿ],Preroll 0.5g,5048,2,5.49,2.7x,415835
Hypothesis Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,3544,2,5.45,2.7x,416519
Eagle Tree Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1380,2,5.57,2.8x,422190
Tropic Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,5080,2,6.16,3.1x,412106
Tom's Hemp&cannabis        [ÿproductÿdetailsÿ],Preroll 0.75g,2000,2,5.86,2.9x,412648
Northwest Cannabis Solutions        [ÿproductÿdetailsÿ],Preroll 0.75g,4920,2,6.01,3.0x,412882
Sticky Budz        [ÿproductÿdetailsÿ],Preroll 1.0g,12088,2,6.83,3.4x,412076
Bondi Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,28170,2,7.31,3.6x,412141
The Clone Zone        [ÿproductÿdetailsÿ],Preroll 1.0g,7230,2,7.13,3.6x,412598
Nettles Unlimited        [ÿproductÿdetailsÿ],Preroll 1.0g,9381,2,6.06,3.0x,412762
The Four Twenty Collection        [ÿproductÿdetailsÿ],Preroll 1.0g,1650,2,6.54,3.3x,413134
Rolling Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3430,2,5.89,2.9x,416113
Platinum Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,2457,2,8.53,4.3x,417200
Hells Canyon Cannabis Company        [ÿproductÿdetailsÿ],Preroll 1.0g,1200,2,5.82,2.9x,417202
Prince Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,1786,2,7.4,3.7x,422368
Medusa Gardens        [ÿproductÿdetailsÿ],Preroll 1.5g,1194,2,6.8,3.4x,412294
Yield Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1025,2,6.39,3.2x,412337
Golden Leaf        [ÿproductÿdetailsÿ],Flower 1.0g,15098,2,5.91,3.0x,416548
Fsg        [ÿproductÿdetailsÿ],Flower 1.0g,1474,2,5.29,2.6x,416578
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,3387,2,7.66,3.8x,416973
Hill Top Growers        [ÿproductÿdetailsÿ],Flower 1.0g,3000,2,6.81,3.4x,425153
Tumbleweed Farm        [ÿproductÿdetailsÿ],Flower 2.0g,1000,2,7.76,3.9x,412084
Bmf Washington        [ÿproductÿdetailsÿ],Preroll 1.0g,21948,2.01,6.46,3.2x,412149
Inland Empire Growing        [ÿproductÿdetailsÿ],Preroll 1.0g,4645,2.01,7.33,3.7x,412760
Doctor And Crook        [ÿproductÿdetailsÿ],Preroll 1.0g,4850,2.01,8.1,4.0x,416831
Green & Golden        [ÿproductÿdetailsÿ],Flower 1.0g,1888,2.01,6.4,3.2x,415710
Saturn Group        [ÿproductÿdetailsÿ],Preroll 1.0g,31044,2.03,6.15,3.0x,412112
Fresh Productions        [ÿproductÿdetailsÿ],Flower 1.0g,11214,2.03,7.76,3.8x,423101
The Four Twenty Collection        [ÿproductÿdetailsÿ],Flower 1.0g,2858,2.05,5.98,2.9x,413134
O.b.c. LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,3008,2.06,6.95,3.4x,416544
Sugarleaf Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,16298,2.06,7.09,3.4x,423406
Green Zombie        [ÿproductÿdetailsÿ],Preroll 1.0g,2690,2.07,4.92,2.4x,414114
Grow Op Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,389501,2.09,6.39,3.1x,413287
Landrace        [ÿproductÿdetailsÿ],Preroll 1.0g,1121,2.09,6.06,2.9x,419395
Sativa Group        [ÿproductÿdetailsÿ],Preroll 1.0g,9212,2.09,6.66,3.2x,422627
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,8438,2.09,5.95,2.8x,412294
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1355,2.09,6.89,3.3x,416400
Cowlitz County Cannabis Cultivation        [ÿproductÿdetailsÿ],Flower 1.0g,21003,2.09,7.56,3.6x,416502
Root Down        [ÿproductÿdetailsÿ],Preroll 1.0g,7780,2.1,5.78,2.8x,412273
Gensys One        [ÿproductÿdetailsÿ],Flower 1.0g,3242,2.12,7.44,3.5x,412593
C Block Group        [ÿproductÿdetailsÿ],Flower 1.0g,3779,2.12,6.39,3.0x,412728
1937 Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1374,2.12,8.36,4.0x,416738
Olympia Farm Works        [ÿproductÿdetailsÿ],Preroll 1.0g,1420,2.13,7.21,3.4x,423537
Kouchlock Productions        [ÿproductÿdetailsÿ],Flower 1.0g,7459,2.13,8.28,3.9x,412630
Central Farms LLC        [ÿproductÿdetailsÿ],Flower 1.0g,12264,2.14,6.94,3.2x,412792
Green Chiefs        [ÿproductÿdetailsÿ],Preroll 1.0g,16575,2.15,7.3,3.4x,412672
Absolute Oils        [ÿproductÿdetailsÿ],Preroll 1.0g,1278,2.15,8.27,3.8x,415964
Avitas        [ÿproductÿdetailsÿ],Preroll 0.5g,1656,2.16,6.39,3.0x,412759
Sitka Packaging        [ÿproductÿdetailsÿ],Preroll 1.0g,6355,2.17,6.51,3.0x,412952
Kush Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5322,2.17,6.5,3.0x,414287
Top Shelf        [ÿproductÿdetailsÿ],Preroll 1.0g,40346,2.17,7.59,3.5x,423396
Jbc Grow        [ÿproductÿdetailsÿ],Preroll 1.0g,2993,2.18,7.25,3.3x,413631
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,37686,2.18,7.15,3.3x,412076
Hanging Gardens of Central Washington        [ÿproductÿdetailsÿ],Flower 1.0g,1062,2.18,7.87,3.6x,416134
