Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Pacific Glo        [ÿproductÿdetailsÿ],Preroll 0.5g,1600,1.6,4.83,3.0x,422928
Big Ridge Farms        [ÿproductÿdetailsÿ],Flower 1.0g,29211,1.6,4.57,2.9x,413139
Daring Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3325,1.6,4.74,3.0x,415881
Fine Detail Greenway        [ÿproductÿdetailsÿ],Preroll 0.5g,10925,1.61,4.76,3.0x,412400
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,3462,1.62,5.2,3.2x,412784
Northwest Greenery        [ÿproductÿdetailsÿ],Preroll 0.75g,1788,1.62,4.92,3.0x,415937
Twenty Plus        [ÿproductÿdetailsÿ],Preroll 1.0g,3076,1.62,4.8,3.0x,413088
Growing Like a Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,14158,1.64,7.23,4.4x,419128
Serenity Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,2143,1.65,5.72,3.5x,416194
Circanna        [ÿproductÿdetailsÿ],Edible,21102,1.65,5.19,3.1x,413174
Dogtown Pioneers        [ÿproductÿdetailsÿ],Preroll 1.0g,1950,1.66,5,3.0x,416538
Og Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,4987,1.67,4.71,2.8x,412687
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,7518,1.68,5.08,3.0x,413665
Leaph        [ÿproductÿdetailsÿ],Preroll 0.5g,9828,1.68,5.28,3.1x,417010
Peak Supply        [ÿproductÿdetailsÿ],Flower 1.0g,4885,1.69,5.82,3.5x,413077
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,5682,1.7,4.76,2.8x,412815
Trichometechnologies        [ÿproductÿdetailsÿ],Preroll 1.0g,1956,1.7,4.82,2.8x,412362
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,23499,1.71,5.12,3.0x,412408
Kali Products        [ÿproductÿdetailsÿ],Flower 1.0g,4874,1.73,7.99,4.6x,416973
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,23663,1.73,5.72,3.3x,417001
K&m Growers        [ÿproductÿdetailsÿ],Flower 1.0g,3532,1.74,7.03,4.0x,412249
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,10176,1.74,5.62,3.2x,412294
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,4727,1.75,5.28,3.0x,413145
Louis W        [ÿproductÿdetailsÿ],Preroll 1.0g,3272,1.75,4.72,2.7x,415691
Green & Golden        [ÿproductÿdetailsÿ],Preroll 1.0g,1925,1.75,5.2,3.0x,415710
Central Business District        [ÿproductÿdetailsÿ],Preroll 1.0g,16233,1.75,5.12,2.9x,417097
Agro Technic        [ÿproductÿdetailsÿ],Flower 1.0g,3325,1.75,5.32,3.0x,412266
Herban Myth        [ÿproductÿdetailsÿ],Preroll 1.0g,5946,1.76,5.67,3.2x,412123
Green Labs        [ÿproductÿdetailsÿ],Preroll 1.0g,3846,1.76,8.42,4.8x,413076
Happy Hill Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,9278,1.76,5.24,3.0x,416800
Washington Packaging And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,3435,1.76,5.51,3.1x,424045
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,14765,1.77,4.88,2.8x,412337
Mountain High Organics        [ÿproductÿdetailsÿ],Preroll 1.0g,3756,1.78,6.65,3.7x,412576
Poorman Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,3846,1.79,6.48,3.6x,415921
Honu Enterprises        [ÿproductÿdetailsÿ],Preroll 1.25g,1635,1.79,7.5,4.2x,412097
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 0.75g,1784,1.8,5.41,3.0x,412258
Green Acre Pharms        [ÿproductÿdetailsÿ],Preroll 1.0g,9541,1.8,6.76,3.8x,413099
Royal Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,8924,1.8,5.54,3.1x,413723
Oberfelder Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,10836,1.81,4.82,2.7x,412286
Greenzone        [ÿproductÿdetailsÿ],Preroll 1.0g,1225,1.83,6.43,3.5x,412529
Fireweed Farms        [ÿproductÿdetailsÿ],Flower 1.0g,15600,1.83,6.07,3.3x,417794
W.o.w. Industries        [ÿproductÿdetailsÿ],Preroll 1.0g,2568,1.85,5.67,3.1x,413922
5th House Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5175,1.85,5.54,3.0x,416057
Sourface        [ÿproductÿdetailsÿ],Flower 1.0g,6562,1.85,4.94,2.7x,412679
Hanging Gardens of Central Washington        [ÿproductÿdetailsÿ],Flower 1.0g,2081,1.85,5.85,3.2x,416134
Orange State        [ÿproductÿdetailsÿ],Preroll 1.0g,3368,1.86,5.95,3.2x,412409
Mountain High Garden        [ÿproductÿdetailsÿ],Flower 1.0g,2546,1.87,7.29,3.9x,415955
D And L Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,2807,1.87,6.92,3.7x,416400
Okanogan Valley Nursery        [ÿproductÿdetailsÿ],Flower 1.0g,1431,1.9,7.51,3.9x,412262
Be Kind Buds        [ÿproductÿdetailsÿ],Flower 1.0g,3180,1.9,6.01,3.2x,416353
Kush Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5230,1.91,6.86,3.6x,414287
4evergreen Trees        [ÿproductÿdetailsÿ],Preroll 0.75g,6030,1.92,6.59,3.4x,413855
G-7 Grow        [ÿproductÿdetailsÿ],Flower 1.0g,7834,1.93,6.05,3.1x,417526
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,4516,1.95,6.64,3.4x,413084
Virginia Company        [ÿproductÿdetailsÿ],Preroll 0.75g,14753,1.97,6.28,3.2x,414038
