Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Walden        [ÿproductÿdetailsÿ],Preroll 1.0g,2850,1.65,6.38,3.9x,416445
Alphapheno        [ÿproductÿdetailsÿ],Preroll 1.25g,5115,1.65,5.68,3.4x,412104
Dogtown Pioneers        [ÿproductÿdetailsÿ],Preroll 1.0g,3974,1.66,4.71,2.8x,416538
Og Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,2533,1.67,4.51,2.7x,412687
Northwest Greenery        [ÿproductÿdetailsÿ],Preroll 0.75g,1838,1.67,5.56,3.3x,415937
"M-r Wholesale, LLC        [ÿproductÿdetailsÿ]",Preroll 1.0g,3155,1.68,6.14,3.7x,412634
Ninja Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,18241,1.68,4.99,3.0x,417001
Jms. Consultants        [ÿproductÿdetailsÿ],Preroll 0.5g,3930,1.69,4.64,2.7x,416423
Orgrow        [ÿproductÿdetailsÿ],Preroll 0.75g,5969,1.69,5.32,3.1x,412784
Evergreen Production        [ÿproductÿdetailsÿ],Preroll 0.5g,6172,1.73,4.65,2.7x,412815
Landrace        [ÿproductÿdetailsÿ],Flower 1.0g,4372,1.73,6.65,3.8x,419395
Lost Lake Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,1481,1.74,4.65,2.7x,412978
Khush Kush        [ÿproductÿdetailsÿ],Preroll 0.5g,7225,1.74,5.23,3.0x,413145
Leaph        [ÿproductÿdetailsÿ],Preroll 0.5g,3133,1.74,5.96,3.4x,417010
Monkey Grass Farms        [ÿproductÿdetailsÿ],Preroll 0.5g,1312,1.75,4.62,2.6x,412618
Rootworx        [ÿproductÿdetailsÿ],Preroll 0.5g,4226,1.75,5.53,3.2x,413665
Louis W        [ÿproductÿdetailsÿ],Preroll 1.0g,2572,1.75,4.94,2.8x,415691
5th House Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,5066,1.75,5.91,3.4x,416057
Fireweed Farms        [ÿproductÿdetailsÿ],Flower 1.0g,13048,1.75,5.18,3.0x,417794
Coastal Enterprises        [ÿproductÿdetailsÿ],Preroll 0.5g,10143,1.76,5.07,2.9x,412408
Orange State        [ÿproductÿdetailsÿ],Preroll 1.0g,5560,1.76,5.56,3.2x,412409
Gardens Royale        [ÿproductÿdetailsÿ],Preroll 1.0g,2016,1.76,5.98,3.4x,416700
Yield Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,7800,1.78,4.71,2.6x,412337
Cannasol Farms        [ÿproductÿdetailsÿ],Preroll 0.75g,3585,1.79,4.93,2.8x,412240
Leef        [ÿproductÿdetailsÿ],Preroll 0.75g,1057,1.8,8.36,4.6x,413085
Heavyweight Heights        [ÿproductÿdetailsÿ],Preroll 0.75g,1935,1.8,6.77,3.8x,417024
Desert Valley Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1834,1.83,6.75,3.7x,412260
Redtail        [ÿproductÿdetailsÿ],Flower 1.0g,3013,1.84,6.15,3.3x,416310
Herban Myth        [ÿproductÿdetailsÿ],Preroll 1.0g,3978,1.85,5.6,3.0x,412123
Fresh Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,6012,1.85,4.81,2.6x,423101
Medusa Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,7102,1.87,6.06,3.2x,412294
Quality Cannabis Producing And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,3015,1.9,5.32,2.8x,412130
